date,score,direction,adx_score,ma_score,rsi_score,bb_score,vix_score,vol_score,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_60d
2021-05-18,41.0,bull,30,100.0,10,10,40,40,0.014608112142758145,0.01945090702448926,0.023225306122835132,0.08067192536938439
2021-05-19,37.67,bull,30,83.33,10,10,40,40,0.01951319227046233,0.018750223190107773,0.02579881889871216,0.08560427661312908
2021-05-20,43.67,bull,30,83.33,50,10,40,40,0.010040528873505927,0.01701562290514147,0.0017624107788347665,0.07708116974673729
2021-05-21,39.5,bull,0,100.0,50,10,40,40,0.011610112368395376,0.017002535834836907,0.016586260857897717,0.07031522343321472
2021-05-24,49.0,bull,0,100.0,100,10,60,40,0.0011889862182303812,0.007197903847545373,0.011767822403152994,0.04841977681960841
2021-05-25,49.0,bull,0,100.0,100,10,60,40,0.004773069349409909,0.007502136455687092,0.012824330295466257,0.05197305908975913
2021-05-26,49.0,bull,0,100.0,100,10,60,40,-0.000748366069354689,0.010293146312025048,0.016801755023746257,0.058551062747312255
2021-05-27,49.0,bull,0,100.0,100,10,60,40,0.006905756583267975,0.011083406308341814,0.019000855708009468,0.06633131870392672
2021-05-28,49.0,bull,0,100.0,100,10,60,40,0.005330535352020771,0.0121405102916754,0.020575104555542678,0.06710579084803192
2021-06-01,49.0,bull,0,100.0,100,10,60,40,0.0060017815937152275,0.010601946738574952,0.02136099722767648,0.07000168956252417
2021-06-02,49.0,bull,0,100.0,100,10,60,40,0.002716102958496114,0.003702384364306921,0.021239860156899937,0.06223203604452432
2021-06-03,49.0,bull,0,100.0,100,10,60,40,0.011049781663050151,0.006918865437430366,0.030311086919382557,0.07549042111192583
2021-06-04,49.0,bull,0,100.0,100,10,60,40,0.0041489977565030145,-0.01499801161631642,0.028948673150702264,0.07066375075538378
2021-06-07,49.0,bull,0,100.0,100,10,60,40,0.006773866604250722,-0.0004093155742207477,0.027687085117422017,0.0700718687907329
2021-06-08,49.0,bull,0,100.0,100,10,60,40,0.0045727206740846515,0.0045372597958655,0.030958617270625766,0.0702180832459709
2021-06-09,49.0,bull,0,100.0,100,10,60,40,0.0009836098202677945,0.005282563328850465,0.024000195333338414,0.07522138742678175
2021-06-10,49.0,bull,0,100.0,100,10,60,40,-0.004085769366197756,0.006442297204014569,0.03075350032326085,0.06988379538395151
2021-06-11,52.0,bull,0,100.0,100,10,90,40,-0.019067896712139487,0.00783065902404223,0.0322994423226215,0.06417744512233181
2021-06-14,49.0,bull,0,100.0,100,10,60,40,-0.007134851645185902,0.008333422265093038,0.026805179890589947,0.06084860176897311
2021-06-15,49.0,bull,0,100.0,100,10,60,40,-3.529946363212133e-05,0.010646180253089055,0.03007353326704232,0.05809130395988693
2021-06-16,49.0,bull,0,100.0,100,10,60,40,0.004294729170794653,0.01747278482724779,0.0322772885241831,0.055609979863905146
2021-06-17,41.5,bull,0,100.0,50,10,60,40,0.010571258293510244,0.02323148595670621,0.024941683613086685,0.05847425665039285
2021-06-18,33.5,bull,0,100.0,10,10,40,40,0.027421424628701452,0.044615833556977735,0.022090757058862875,0.06638735528056738
2021-06-21,41.5,bull,0,100.0,50,10,60,40,0.015579430838024821,0.028107905695202495,0.023260332140211393,0.0605734613753226
2021-06-22,49.0,bull,0,100.0,100,10,60,40,0.010681856780536236,0.02630201838419577,0.026433907355069675,0.05352955928501224
2021-06-23,49.0,bull,0,100.0,100,10,60,40,0.013121701502240901,0.018619274507763572,0.029619255169162084,0.04506308528046965
2021-06-24,52.0,bull,0,100.0,100,10,90,40,0.012527793126211106,0.0241555856573048,0.034056049986197934,0.021385199796927656
2021-06-25,52.0,bull,0,100.0,100,10,90,40,0.016735497738418426,0.024278665348675066,0.03307860931958184,0.0171676928401161
2021-06-28,52.0,bull,0,100.0,100,10,90,40,0.012336282595680093,0.01831909685588151,0.025835510845415577,0.024479101289619054
2021-06-29,49.0,bull,0,100.0,100,10,60,40,0.015455072730222508,0.01922270463545228,0.025360067334076142,0.03662337083141165
2021-06-30,52.0,bull,0,100.0,100,10,90,40,0.00542636980075617,0.014550269960732942,0.028307132598894613,0.036760902959569464
2021-07-01,49.0,bull,0,100.0,80,10,90,40,0.01148392430314682,0.0016713692647771783,0.0174353868897148,0.02851195237564008
2021-07-02,52.0,bull,0,100.0,80,30,90,40,0.007419006838096154,-0.021563024199447334,0.008000366182342677,6.663980132803893e-05
2021-07-06,49.0,bull,0,100.0,80,30,60,40,0.005909907965425454,-0.004715043555387655,0.018328336464105144,0.0036651951476971423
2021-07-07,49.0,bull,0,100.0,80,30,60,40,0.0037102891170752716,0.00012850892672067182,0.010217748124744519,-0.01160815421071204
2021-07-08,52.0,bull,0,100.0,100,30,60,40,0.009074657711419354,0.010798912740694222,0.02506012234774868,0.008382718168605585
2021-07-09,49.0,bull,0,100.0,80,30,60,40,-0.00970114779147857,0.009666953407805545,0.015326570891103453,-0.015811661804582933
2021-07-12,59.5,bull,30,100.0,80,50,60,40,-0.028768596622478992,0.008591357282552892,0.010883521783859207,-0.008874105456716852
2021-07-13,59.5,bull,30,100.0,80,50,60,40,-0.010562527952730272,0.007381197124497918,0.015458181150902695,-0.0012954644662545034
2021-07-14,59.5,bull,30,100.0,80,50,60,40,-0.0035685398756899467,0.006021611048018238,0.015570572343832634,0.005820351158879689
2021-07-15,62.5,bull,30,100.0,100,50,60,40,0.0017087487195304174,0.013559567273777606,0.02311917531204144,0.007181157041712183
2021-07-16,62.5,bull,30,100.0,100,50,60,40,0.01955783464364358,0.015737714093304156,0.032547869425765485,0.007864230564033736
2021-07-19,44.0,bull,30,100.0,10,30,40,40,0.038466583530052834,0.030214915332284376,0.05194792388551006,0.02164139469543147
2021-07-20,44.5,bull,0,100.0,50,30,60,40,0.01813527947359872,0.023152545278900982,0.028919334415149933,0.009423821446284064
2021-07-21,52.0,bull,0,100.0,100,30,60,40,0.009624496322618858,0.010087942807320616,0.009539581544904419,0.018255444936071452
2021-07-22,49.0,bull,0,100.0,100,10,60,40,0.011830603026474318,0.014108849373795307,0.008773898080841835,0.02378720387576916
2021-07-23,49.0,bull,0,100.0,100,10,60,40,-0.003746840464106227,0.00560543005215286,0.006772734547188408,0.016925085104654514
2021-07-26,49.0,bull,0,100.0,100,10,60,40,-0.007946012253681412,0.002272639443869684,0.012941225831882397,0.02200892802921972
2021-07-27,49.0,bull,0,100.0,100,10,60,40,0.004927897015705174,0.008017803041648675,0.01925952304089451,0.030610293326410964
2021-07-28,49.0,bull,0,100.0,100,10,60,40,0.00045902856595692043,0.009491805335938075,0.02171270581528284,0.03389044407268971
2021-07-29,49.0,bull,0,100.0,100,10,60,40,0.002251608461442567,0.009431718023220848,0.01150676007376017,0.028455699122880374
2021-07-30,49.0,bull,0,100.0,100,10,60,40,0.009387443770432657,0.016549700871810957,0.02596214049848622,0.03895565312950344
2021-08-02,49.0,bull,0,100.0,100,10,60,40,0.010300499593540513,0.021095606586336357,0.03228281570955005,0.042767958344351875
2021-08-03,49.0,bull,0,100.0,100,10,60,40,0.003074753955104148,0.005636294570988909,0.022502125325836397,0.02905853888637
2021-08-04,52.0,bull,0,100.0,100,30,60,40,0.009028632369811884,-0.0005428846728851022,0.0275809813136767,0.04400970294060502
2021-08-05,52.0,bull,0,100.0,100,30,60,40,0.007163979085851091,-0.005260728467410325,0.024350340989882202,0.03980036153383204
2021-08-06,52.0,bull,0,100.0,100,30,60,40,0.007095647113089409,0.0011607977245855494,0.022294536216349803,0.039929922904409
2021-08-09,52.0,bull,0,100.0,100,30,60,40,0.010685045684070138,0.010644395514909366,0.019781760368244194,0.04473920162406797
2021-08-10,52.0,bull,0,100.0,100,30,60,40,0.002553688651603103,0.011152303030089517,0.017427131170056898,0.05044679646559991
2021-08-11,52.0,bull,0,100.0,100,30,60,40,-0.009485872586407429,0.012105992752737604,0.011450907754359863,0.05349571380963147
2021-08-12,52.0,bull,0,100.0,80,30,90,40,-0.01233633034070436,0.0020556537044456036,-0.0005043904297169499,0.05306180753039147
2021-08-13,52.0,bull,0,100.0,80,30,90,40,-0.005893034495299876,0.00925920259344215,0.0001633796930953224,0.052305325719001816
2021-08-16,46.0,bull,0,100.0,80,10,60,40,-4.0220412218849866e-05,0.010956083887790014,-0.008183600404863656,0.04588244347397108
2021-08-17,49.0,bull,0,100.0,100,10,60,40,0.008576712126062036,0.01677130275219696,0.007333527412854091,0.04465519489843106
2021-08-18,33.5,bull,0,100.0,10,10,40,40,0.02179864450346125,0.028139142295622088,0.016698970777383693,0.05658743642885011
2021-08-19,39.5,bull,0,100.0,50,10,40,40,0.014571745916415635,0.029767669081437687,0.006171508214824151,0.06288308712392832
2021-08-20,49.0,bull,0,100.0,100,10,60,40,0.015242059068612868,0.021109234939878263,-0.018898284402640964,0.054288113942224214
2021-08-23,49.0,bull,0,100.0,100,10,60,40,0.010996746593689988,0.00904112751615238,-0.027980580498724872,0.04941815945080896
2021-08-24,49.0,bull,0,100.0,100,10,60,40,0.008124905649329106,0.006205621172165499,-0.02019286664847586,0.04512473553241647
